年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2009,Ｊ２,第１節第１日,03/07(土),13:03,福岡,0-0,富山,レベスタ,"9,102",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第１節第１日,03/07(土),14:04,徳島,0-0,東京Ｖ,鳴門大塚,"9,334",スカパースカチャン／ｅ２スカチャン／ＮＨＫ徳島
2009,Ｊ２,第１節第２日,03/08(日),13:03,栃木,0-1,岐阜,栃木グ,"5,523",スカパースカチャン／ｅ２スカチャン／とちぎテレビ（録）
2009,Ｊ２,第１節第２日,03/08(日),13:06,熊本,1-2,草津,熊本,"7,013",スカパースカチャン／ｅ２スカチャン／ＮＨＫ熊本
2009,Ｊ２,第１節第２日,03/08(日),13:09,岡山,0-0,甲府,岡山,"10,525",スカパースカチャン／ｅ２スカチャン／ＮＨＫ岡山／ＮＨＫ甲府
2009,Ｊ２,第１節第２日,03/08(日),13:30,愛媛,3-1,水戸,ニンスタ,"4,018",スカパースカチャン／ｅ２スカチャン／ＮＨＫ松山
2009,Ｊ２,第１節第２日,03/08(日),14:03,札幌,0-1,仙台,札幌ド,"21,908",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌／ＮＨＫ仙台
2009,Ｊ２,第１節第２日,03/08(日),16:03,湘南,2-1,横浜FC,平塚,"8,221",スカパースカチャン／ｅ２スカチャン／ｔｖｋ（録）
2009,Ｊ２,第１節第２日,03/08(日),16:05,Ｃ大阪,4-1,鳥栖,長居,"8,234",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第２節第１日,03/14(土),13:04,水戸,1-0,徳島,笠松,"2,057",スカパースカチャン／ｅ２スカチャン／ＮＨＫ水戸＊
2009,Ｊ２,第２節第１日,03/14(土),14:03,横浜FC,1-2,熊本,ニッパ球,"5,431",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第２節第２日,03/15(日),13:03,栃木,0-1,湘南,栃木グ,"5,093",スカパースカチャン／ｅ２スカチャン／とちぎテレビ（録）
2009,Ｊ２,第２節第２日,03/15(日),13:04,富山,1-2,愛媛,富山,"5,214",スカパースカチャン／ｅ２スカチャン／ＮＨＫ富山
2009,Ｊ２,第２節第２日,03/15(日),13:04,岐阜,0-1,甲府,長良川,"6,803",スカパースカチャン／ｅ２スカチャン／ＮＨＫ岐阜
2009,Ｊ２,第２節第２日,03/15(日),13:04,鳥栖,1-2,札幌,ベアスタ,"6,572",スカパースカチャン／ｅ２スカチャン／ＮＨＫ佐賀
2009,Ｊ２,第２節第２日,03/15(日),16:03,東京Ｖ,1-2,Ｃ大阪,味スタ,"9,378",スカパースカチャン／ｅ２スカチャン／日本テレビ（録）
2009,Ｊ２,第２節第２日,03/15(日),16:03,岡山,0-0,仙台,岡山,"6,455",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第２節第２日,03/15(日),16:04,草津,3-2,福岡,正田スタ,"4,782",スカパースカチャン／ｅ２スカチャン／群馬テレビ（録）
2009,Ｊ２,第３節第１日,03/21(土),13:04,徳島,3-0,熊本,鳴門大塚,"3,181",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第１日,03/21(土),13:05,仙台,1-0,鳥栖,宮城ス,"16,372",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第１日,03/21(土),16:03,湘南,2-1,岡山,平塚,"4,948",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第１日,03/21(土),16:04,愛媛,3-0,岐阜,ニンスタ,"3,048",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第２日,03/22(日),13:03,福岡,1-2,水戸,レベスタ,"6,111",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第２日,03/22(日),13:04,Ｃ大阪,1-0,栃木,長居,"5,815",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第２日,03/22(日),14:03,甲府,2-1,札幌,小瀬,"11,252",スカパースカチャン／ｅ２スカチャン／ＮＨＫ甲府
2009,Ｊ２,第３節第２日,03/22(日),16:03,東京Ｖ,1-0,富山,味スタ,"3,826",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第３節第２日,03/22(日),16:05,草津,3-2,横浜FC,正田スタ,"7,297",スカパースカチャン／ｅ２スカチャン／群馬テレビ（録）
2009,Ｊ２,第４節第１日,03/25(水),19:03,栃木,0-2,福岡,国立,"2,020",スカパースカチャン／ｅ２スカチャン（録）
2009,Ｊ２,第４節第１日,03/25(水),19:03,横浜FC,0-0,富山,ニッパ球,"1,967",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第４節第１日,03/25(水),19:03,岐阜,1-0,草津,長良川,"2,332",スカパースカチャン／ｅ２スカチャン（録）
2009,Ｊ２,第４節第１日,03/25(水),19:03,熊本,1-1,愛媛,熊本,"3,531",スカパースカチャン／ｅ２スカチャン（録）
2009,Ｊ２,第４節第１日,03/25(水),19:04,札幌,0-1,湘南,札幌ド,"10,786",スカパースカチャン／ｅ２スカチャンＨＤ
2009,Ｊ２,第４節第１日,03/25(水),19:04,水戸,2-0,東京Ｖ,笠松,"1,206",スカパースカチャン／ｅ２スカチャン（録）
2009,Ｊ２,第４節第１日,03/25(水),19:04,Ｃ大阪,2-1,徳島,長居,"4,837",スカパースカチャン／ｅ２スカチャン（録）
2009,Ｊ２,第４節第１日,03/25(水),19:04,鳥栖,0-0,岡山,ベアスタ,"4,239",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第４節第１日,03/25(水),19:06,仙台,0-1,甲府,宮城ス,"7,154",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第５節第１日,03/29(日),12:04,岡山,1-1,札幌,岡山,"5,435",スカパースカチャン／ｅ２スカチャン／岡山放送
2009,Ｊ２,第５節第１日,03/29(日),13:04,水戸,1-0,熊本,笠松,"2,037",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第５節第１日,03/29(日),13:04,福岡,1-0,横浜FC,レベスタ,"10,229",スカパースカチャン／ｅ２スカチャン
2009,Ｊ２,第５節第１日,03/29(日),14:03,甲府,0-1,鳥栖,小瀬,"10,108",スカパースカチャン／ｅ２スカチャン（録）／山梨放送
2009,Ｊ２,第５節第１日,03/29(日),14:04,徳島,3-1,岐阜,鳴門大塚,"2,959",スカパースカチャン／ｅ２スカチャン
