年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2006,Ｊ２,第１節第１日,03/04(土),14:04,柏,1-1,湘南,柏,"9,094",スカイパーフェクＴＶ！／千葉テレビ（録）
2006,Ｊ２,第１節第１日,03/04(土),14:04,東京Ｖ,4-1,徳島,国立,"7,587",スカイパーフェクＴＶ！／日本テレビ（録）／四国放送（録）
2006,Ｊ２,第１節第１日,03/04(土),14:04,神戸,0-3,草津,神戸ウイ,"7,030",スカイパーフェクＴＶ！／ＮＨＫ神戸（録）
2006,Ｊ２,第１節第１日,03/04(土),14:04,愛媛,1-0,横浜FC,愛媛陸,"10,922",ＮＨＫ松山／スカイパーフェクＴＶ！
2006,Ｊ２,第１節第１日,03/04(土),14:04,鳥栖,0-1,札幌,鳥栖,"15,572",スカイパーフェクＴＶ！
2006,Ｊ２,第１節第１日,03/04(土),14:05,水戸,1-1,山形,笠松,"6,174",ＮＨＫ水戸＊／スカイパーフェクＴＶ！／ＮＨＫ山形（録）
2006,Ｊ２,第２節第１日,03/11(土),13:04,湘南,2-0,東京Ｖ,平塚,"10,723",スカイパーフェクＴＶ！
2006,Ｊ２,第２節第１日,03/11(土),14:04,札幌,0-1,水戸,札幌ド,"16,858",ＮＨＫ札幌／ＮＨＫ水戸＊／スカイパーフェクＴＶ！
2006,Ｊ２,第２節第１日,03/11(土),14:04,草津,0-4,柏,群馬陸,"5,238",群馬テレビ／スカイパーフェクＴＶ！
2006,Ｊ２,第２節第１日,03/11(土),14:04,横浜FC,0-0,鳥栖,三ツ沢,"4,124",スカイパーフェクＴＶ！
2006,Ｊ２,第２節第１日,03/11(土),14:04,神戸,1-0,愛媛,神戸ウイ,"3,892",スカイパーフェクＴＶ！
2006,Ｊ２,第２節第１日,03/11(土),14:04,徳島,0-4,仙台,鳴門,"4,316",ＮＨＫ徳島／スカイパーフェクＴＶ！
2006,Ｊ２,第３節第１日,03/18(土),14:03,水戸,3-0,湘南,笠松,"2,137",ＮＨＫ水戸＊／スカイパーフェクＴＶ！
2006,Ｊ２,第３節第１日,03/18(土),14:04,仙台,0-1,柏,ユアスタ,"18,325",ＮＨＫ仙台／スカイパーフェクＴＶ！
2006,Ｊ２,第３節第１日,03/18(土),14:04,山形,0-1,札幌,山形県,"6,149",スカイパーフェクＴＶ！
2006,Ｊ２,第３節第１日,03/18(土),14:04,東京Ｖ,1-0,愛媛,駒沢,"4,196",スカイパーフェクＴＶ！
2006,Ｊ２,第３節第１日,03/18(土),14:04,徳島,1-1,横浜FC,鳴門,"6,970",ＮＨＫ徳島／スカイパーフェクＴＶ！
2006,Ｊ２,第３節第１日,03/18(土),14:04,鳥栖,1-3,神戸,鳥栖,"4,836",スカイパーフェクＴＶ！
2006,Ｊ２,第４節第１日,03/21(火・祝),13:04,湘南,1-0,仙台,平塚,"6,826",スカイパーフェクＴＶ！
2006,Ｊ２,第４節第１日,03/21(火・祝),14:03,愛媛,2-1,札幌,愛媛陸,"4,214",あいテレビ／スカイパーフェクＴＶ！／北海道放送（録）
2006,Ｊ２,第４節第１日,03/21(火・祝),14:04,草津,0-2,徳島,群馬陸,"2,439",群馬テレビ／スカイパーフェクＴＶ！
2006,Ｊ２,第４節第１日,03/21(火・祝),14:04,柏,2-0,鳥栖,柏,"6,703",スカイパーフェクＴＶ！／千葉テレビ（録）
