年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2007,Ｊ２,第１節第１日,03/03(土),13:04,湘南,1-2,仙台,平塚,"7,842",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ仙台
2007,Ｊ２,第１節第１日,03/03(土),14:04,徳島,2-1,愛媛,鳴門,"6,566",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ徳島／ＮＨＫ松山
2007,Ｊ２,第１節第１日,03/03(土),16:05,京都,2-0,札幌,西京極,"7,788",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都（録）
2007,Ｊ２,第１節第２日,03/04(日),13:03,東京Ｖ,5-0,草津,国立,"10,275",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2007,Ｊ２,第１節第２日,03/04(日),14:04,水戸,0-1,山形,笠松,"6,543",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊／ＮＨＫ山形
2007,Ｊ２,第１節第２日,03/04(日),15:03,鳥栖,0-5,福岡,鳥栖,"14,124",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ佐賀／ＮＨＫ福岡
2007,Ｊ２,第２節第１日,03/10(土),14:04,札幌,1-0,鳥栖,札幌ド,"13,568",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ札幌
2007,Ｊ２,第２節第１日,03/10(土),14:04,福岡,1-1,山形,博多球,"8,479",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ福岡
2007,Ｊ２,第２節第２日,03/11(日),13:03,草津,0-0,徳島,群馬陸,"2,634",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ
2007,Ｊ２,第２節第２日,03/11(日),13:05,京都,0-0,湘南,西京極,"4,538",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都（録）
2007,Ｊ２,第２節第２日,03/11(日),14:04,愛媛,1-3,東京Ｖ,愛媛陸,"6,311",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ松山
2007,Ｊ２,第２節第２日,03/11(日),16:04,Ｃ大阪,0-2,仙台,長居２,"6,285",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第３節第１日,03/17(土),13:04,徳島,0-3,札幌,鳴門,"3,167",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第３節第１日,03/17(土),14:04,水戸,1-3,草津,笠松,"1,684",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊
2007,Ｊ２,第３節第１日,03/17(土),14:05,仙台,2-2,東京Ｖ,ユアスタ,"18,261",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ仙台
2007,Ｊ２,第３節第２日,03/18(日),13:03,湘南,2-1,Ｃ大阪,平塚,"4,226",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第３節第２日,03/18(日),13:04,山形,1-1,京都,ＮＤスタ,"5,254",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第３節第２日,03/18(日),16:03,鳥栖,0-1,愛媛,鳥栖,"5,547",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第４節第１日,03/21(水・祝),13:03,東京Ｖ,2-0,Ｃ大阪,味スタ,"8,065",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2007,Ｊ２,第４節第１日,03/21(水・祝),13:04,福岡,1-2,仙台,博多球,"8,418",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第４節第１日,03/21(水・祝),14:04,愛媛,0-0,水戸,愛媛陸,"3,519",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／あいテレビ
2007,Ｊ２,第４節第１日,03/21(水・祝),14:05,京都,1-1,徳島,西京極,"5,318",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都（録）
2007,Ｊ２,第４節第１日,03/21(水・祝),16:03,札幌,0-0,湘南,札幌ド,"13,279",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第４節第１日,03/21(水・祝),19:03,草津,1-1,鳥栖,群馬陸,"2,621",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ
2007,Ｊ２,第５節第１日,03/25(日),13:04,仙台,1-1,草津,ユアスタ,"13,210",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第５節第１日,03/25(日),13:04,山形,0-1,札幌,ＮＤスタ,"3,932",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
