年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2014,Ｊ２,第１節第１日,03/02(日),13:04,東京Ｖ,1-3,松本,味スタ,"12,658",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第１節第１日,03/02(日),13:05,岐阜,3-1,讃岐,長良川,"11,069",スカパー！／スカパー！プレミアムサービス／岐阜放送（録）
2014,Ｊ２,第１節第１日,03/02(日),14:03,磐田,0-1,札幌,ヤマハ,"11,730",スカパー！／スカパー！プレミアムサービス／静岡放送
2014,Ｊ２,第１節第１日,03/02(日),15:03,横浜FC,0-0,愛媛,ニッパ球,"3,684",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第１節第１日,03/02(日),15:04,水戸,2-1,大分,Ｋｓスタ,"4,280",スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸／ＮＨＫ大分
2014,Ｊ２,第１節第１日,03/02(日),15:04,岡山,0-0,富山,カンスタ,"9,577",スカパー！／スカパー！プレミアムサービス／ＮＨＫ岡山／ＮＨＫ富山
2014,Ｊ２,第１節第１日,03/02(日),15:05,北九州,1-3,京都,本城,"3,355",スカパー！／スカパー！プレミアムサービス／ＮＨＫ北九州／ＮＨＫ京都
2014,Ｊ２,第１節第１日,03/02(日),15:05,熊本,2-1,福岡,うまスタ,"9,679",スカパー！／スカパー！プレミアムサービス／ＮＨＫ熊本／ＮＨＫ福岡
2014,Ｊ２,第１節第１日,03/02(日),16:03,千葉,0-2,栃木,フクアリ,"8,395",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第１節第１日,03/02(日),16:04,長崎,2-0,群馬,長崎県立,"5,248",スカパー！／スカパー！プレミアムサービス／ＮＨＫ長崎
2014,Ｊ２,第１節第１日,03/02(日),16:04,湘南,1-0,山形,ＢＭＷス,"7,234",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),13:03,札幌,1-1,山形,札幌ド,"16,064",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),13:03,長崎,0-3,湘南,長崎県立,"4,294",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),13:03,讃岐,1-4,磐田,丸亀,"10,421",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),13:03,栃木,1-1,横浜FC,栃木グ,"6,907",スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
2014,Ｊ２,第２節第１日,03/09(日),13:04,群馬,1-0,東京Ｖ,正田スタ,"3,855",スカパー！／スカパー！プレミアムサービス／群馬テレビ
2014,Ｊ２,第２節第１日,03/09(日),14:04,愛媛,0-2,水戸,ニンスタ,"4,327",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),16:03,大分,1-0,北九州,大銀ド,"8,843",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),16:04,岐阜,3-0,富山,長良川,"7,879",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),16:04,福岡,1-0,京都,レベスタ,"5,499",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),16:04,熊本,0-1,松本,うまスタ,"5,521",スカパー！／スカパー！プレミアムサービス
2014,Ｊ２,第２節第１日,03/09(日),17:03,千葉,1-0,岡山,フクアリ,"7,412",スカパー！／スカパー！プレミアムサービス
